"";"featurecode";"featurename";"areatypename"
"1051";"S12000038";"Renfrewshire";"Council Areas"
"1052";"S12000014";"Falkirk";"Council Areas"
"1053";"S12000029";"South Lanarkshire";"Council Areas"
"1054";"S12000011";"East Renfrewshire";"Council Areas"
"1055";"S12000033";"Aberdeen City";"Council Areas"
"1056";"S12000030";"Stirling";"Council Areas"
"1057";"S12000029";"South Lanarkshire";"Council Areas"
"1058";"S12000013";"Na h-Eileanan Siar";"Council Areas"
"1059";"S12000011";"East Renfrewshire";"Council Areas"
"1060";"S12000011";"East Renfrewshire";"Council Areas"
"1061";"S12000014";"Falkirk";"Council Areas"
"1062";"S12000011";"East Renfrewshire";"Council Areas"
"1063";"S12000014";"Falkirk";"Council Areas"
"1064";"S12000027";"Shetland Islands";"Council Areas"
"1065";"S12000028";"South Ayrshire";"Council Areas"
"1066";"S12000023";"Orkney Islands";"Council Areas"
"1067";"S12000028";"South Ayrshire";"Council Areas"
"1068";"S12000028";"South Ayrshire";"Council Areas"
"1069";"S12000023";"Orkney Islands";"Council Areas"
"1070";"S12000023";"Orkney Islands";"Council Areas"
"1071";"S12000026";"Scottish Borders";"Council Areas"
"1072";"S12000029";"South Lanarkshire";"Council Areas"
"1073";"S12000026";"Scottish Borders";"Council Areas"
"1074";"S12000026";"Scottish Borders";"Council Areas"
"1075";"S12000013";"Na h-Eileanan Siar";"Council Areas"
"1076";"S12000023";"Orkney Islands";"Council Areas"
"1077";"S12000014";"Falkirk";"Council Areas"
"1078";"S12000023";"Orkney Islands";"Council Areas"
"1079";"S12000011";"East Renfrewshire";"Council Areas"
"1080";"S12000013";"Na h-Eileanan Siar";"Council Areas"
"1081";"S12000014";"Falkirk";"Council Areas"
"1082";"S12000029";"South Lanarkshire";"Council Areas"
"1083";"S12000030";"Stirling";"Council Areas"
"1084";"S12000027";"Shetland Islands";"Council Areas"
"1085";"S12000023";"Orkney Islands";"Council Areas"
"1086";"S12000023";"Orkney Islands";"Council Areas"
"1087";"S12000023";"Orkney Islands";"Council Areas"
"1088";"S12000023";"Orkney Islands";"Council Areas"
"1089";"S12000028";"South Ayrshire";"Council Areas"
"1090";"S12000034";"Aberdeenshire";"Council Areas"
"1091";"S12000033";"Aberdeen City";"Council Areas"
"1092";"S12000028";"South Ayrshire";"Council Areas"
"1093";"S12000028";"South Ayrshire";"Council Areas"
"1094";"S12000029";"South Lanarkshire";"Council Areas"
"1095";"S12000029";"South Lanarkshire";"Council Areas"
"1096";"S12000028";"South Ayrshire";"Council Areas"
"1097";"S12000027";"Shetland Islands";"Council Areas"
"1098";"S12000028";"South Ayrshire";"Council Areas"
"1099";"S12000033";"Aberdeen City";"Council Areas"
"1100";"S12000033";"Aberdeen City";"Council Areas"
"1101";"S12000029";"South Lanarkshire";"Council Areas"
"1102";"S12000027";"Shetland Islands";"Council Areas"
"1103";"S12000026";"Scottish Borders";"Council Areas"
"1104";"S12000034";"Aberdeenshire";"Council Areas"
"1105";"S12000011";"East Renfrewshire";"Council Areas"
"1106";"S12000011";"East Renfrewshire";"Council Areas"
"1107";"S12000034";"Aberdeenshire";"Council Areas"
"1108";"S12000033";"Aberdeen City";"Council Areas"
"1109";"S12000033";"Aberdeen City";"Council Areas"
"1110";"S12000034";"Aberdeenshire";"Council Areas"
"1111";"S12000011";"East Renfrewshire";"Council Areas"
"1112";"S12000034";"Aberdeenshire";"Council Areas"
"1113";"S12000034";"Aberdeenshire";"Council Areas"
"1114";"S12000029";"South Lanarkshire";"Council Areas"
"1115";"S12000029";"South Lanarkshire";"Council Areas"
"1116";"S12000029";"South Lanarkshire";"Council Areas"
"1117";"S12000030";"Stirling";"Council Areas"
"1118";"S12000028";"South Ayrshire";"Council Areas"
"1119";"S12000029";"South Lanarkshire";"Council Areas"
"1120";"S12000011";"East Renfrewshire";"Council Areas"
"1121";"S12000011";"East Renfrewshire";"Council Areas"
"1122";"S12000011";"East Renfrewshire";"Council Areas"
"1123";"S12000030";"Stirling";"Council Areas"
"1124";"S12000029";"South Lanarkshire";"Council Areas"
"1125";"S12000029";"South Lanarkshire";"Council Areas"
"1126";"S12000029";"South Lanarkshire";"Council Areas"
"1127";"S12000029";"South Lanarkshire";"Council Areas"
"1128";"S12000029";"South Lanarkshire";"Council Areas"
"1129";"S12000028";"South Ayrshire";"Council Areas"
"1130";"S12000029";"South Lanarkshire";"Council Areas"
"1131";"S12000028";"South Ayrshire";"Council Areas"
"1132";"S12000029";"South Lanarkshire";"Council Areas"
"1133";"S12000029";"South Lanarkshire";"Council Areas"
"1134";"S12000017";"Highland";"Council Areas"
"1135";"S12000034";"Aberdeenshire";"Council Areas"
"1136";"S12000047";"Fife";"Council Areas"
"1137";"S12000021";"North Ayrshire";"Council Areas"
"1138";"S12000035";"Argyll and Bute";"Council Areas"
"1139";"S12000028";"South Ayrshire";"Council Areas"
"1140";"S12000021";"North Ayrshire";"Council Areas"
"1141";"S12000047";"Fife";"Council Areas"
"1142";"S12000020";"Moray";"Council Areas"
"1143";"S12000017";"Highland";"Council Areas"
"1144";"S12000028";"South Ayrshire";"Council Areas"
"1145";"S12000014";"Falkirk";"Council Areas"
"1146";"S12000026";"Scottish Borders";"Council Areas"
"1147";"S12000017";"Highland";"Council Areas"
"1148";"S12000011";"East Renfrewshire";"Council Areas"
"1149";"S12000005";"Clackmannanshire";"Council Areas"
"1150";"S12000005";"Clackmannanshire";"Council Areas"
"1151";"S12000005";"Clackmannanshire";"Council Areas"
"1152";"S12000028";"South Ayrshire";"Council Areas"
"1153";"S12000005";"Clackmannanshire";"Council Areas"
"1154";"S12000028";"South Ayrshire";"Council Areas"
"1155";"S12000011";"East Renfrewshire";"Council Areas"
"1156";"S12000048";"Perth and Kinross";"Council Areas"
"1157";"S12000017";"Highland";"Council Areas"
"1158";"S12000013";"Na h-Eileanan Siar";"Council Areas"
"1159";"S12000026";"Scottish Borders";"Council Areas"
"1160";"S12000017";"Highland";"Council Areas"
"1161";"S12000014";"Falkirk";"Council Areas"
"1162";"S12000034";"Aberdeenshire";"Council Areas"
"1163";"S12000013";"Na h-Eileanan Siar";"Council Areas"
"1164";"S12000021";"North Ayrshire";"Council Areas"
"1165";"S12000034";"Aberdeenshire";"Council Areas"
"1166";"S12000013";"Na h-Eileanan Siar";"Council Areas"
"1167";"S12000030";"Stirling";"Council Areas"
"1168";"S12000021";"North Ayrshire";"Council Areas"
"1169";"S12000017";"Highland";"Council Areas"
"1170";"S12000021";"North Ayrshire";"Council Areas"
"1171";"S12000035";"Argyll and Bute";"Council Areas"
"1172";"S12000035";"Argyll and Bute";"Council Areas"
"1173";"S12000034";"Aberdeenshire";"Council Areas"
"1174";"S12000035";"Argyll and Bute";"Council Areas"
"1175";"S12000017";"Highland";"Council Areas"
"1176";"S12000033";"Aberdeen City";"Council Areas"
"1177";"S12000035";"Argyll and Bute";"Council Areas"
"1178";"S12000023";"Orkney Islands";"Council Areas"
"1179";"S12000020";"Moray";"Council Areas"
"1180";"S12000014";"Falkirk";"Council Areas"
"1181";"S12000020";"Moray";"Council Areas"
"1182";"S12000005";"Clackmannanshire";"Council Areas"
"1183";"S12000005";"Clackmannanshire";"Council Areas"
"1184";"S12000005";"Clackmannanshire";"Council Areas"
"1185";"S12000034";"Aberdeenshire";"Council Areas"
"1186";"S12000026";"Scottish Borders";"Council Areas"
"1187";"S12000028";"South Ayrshire";"Council Areas"
"1188";"S12000021";"North Ayrshire";"Council Areas"
"1189";"S12000034";"Aberdeenshire";"Council Areas"
"1190";"S12000034";"Aberdeenshire";"Council Areas"
"1191";"S12000005";"Clackmannanshire";"Council Areas"
"1192";"S12000005";"Clackmannanshire";"Council Areas"
"1193";"S12000034";"Aberdeenshire";"Council Areas"
"1194";"S12000028";"South Ayrshire";"Council Areas"
"1195";"S12000021";"North Ayrshire";"Council Areas"
"1196";"S12000041";"Angus";"Council Areas"
"1197";"S12000030";"Stirling";"Council Areas"
"1198";"S12000033";"Aberdeen City";"Council Areas"
"1199";"S12000033";"Aberdeen City";"Council Areas"
"1200";"S12000005";"Clackmannanshire";"Council Areas"
"1201";"S12000005";"Clackmannanshire";"Council Areas"
"1202";"S12000014";"Falkirk";"Council Areas"
"1203";"S12000033";"Aberdeen City";"Council Areas"
"1204";"S12000033";"Aberdeen City";"Council Areas"
"1205";"S12000005";"Clackmannanshire";"Council Areas"
"1206";"S12000005";"Clackmannanshire";"Council Areas"
"1207";"S12000005";"Clackmannanshire";"Council Areas"
"1208";"S12000006";"Dumfries and Galloway";"Council Areas"
"1209";"S12000047";"Fife";"Council Areas"
"1210";"S12000017";"Highland";"Council Areas"
"1211";"S12000011";"East Renfrewshire";"Council Areas"
"1212";"S12000019";"Midlothian";"Council Areas"
"1213";"S12000042";"Dundee City";"Council Areas"
"1214";"S12000029";"South Lanarkshire";"Council Areas"
"1215";"S12000005";"Clackmannanshire";"Council Areas"
"1216";"S12000005";"Clackmannanshire";"Council Areas"
"1217";"S12000005";"Clackmannanshire";"Council Areas"
"1218";"S12000013";"Na h-Eileanan Siar";"Council Areas"
"1219";"S12000021";"North Ayrshire";"Council Areas"
"1220";"S12000028";"South Ayrshire";"Council Areas"
"1221";"S12000017";"Highland";"Council Areas"
"1222";"S12000017";"Highland";"Council Areas"
"1223";"S12000014";"Falkirk";"Council Areas"
"1224";"S12000028";"South Ayrshire";"Council Areas"
"1225";"S12000005";"Clackmannanshire";"Council Areas"
"1226";"S12000005";"Clackmannanshire";"Council Areas"
"1227";"S12000017";"Highland";"Council Areas"
"1228";"S12000026";"Scottish Borders";"Council Areas"
"1229";"S12000017";"Highland";"Council Areas"
"1230";"S12000017";"Highland";"Council Areas"
"1231";"S12000017";"Highland";"Council Areas"
"1232";"S12000017";"Highland";"Council Areas"
"1233";"S12000017";"Highland";"Council Areas"
"1234";"S12000014";"Falkirk";"Council Areas"
"1235";"S12000014";"Falkirk";"Council Areas"
"1236";"S12000017";"Highland";"Council Areas"
"1237";"S12000014";"Falkirk";"Council Areas"
"1238";"S12000014";"Falkirk";"Council Areas"
"1239";"S12000014";"Falkirk";"Council Areas"
"1240";"S12000014";"Falkirk";"Council Areas"
"1241";"S12000047";"Fife";"Council Areas"
"1242";"S12000047";"Fife";"Council Areas"
"1243";"S12000047";"Fife";"Council Areas"
"1244";"S12000047";"Fife";"Council Areas"
"1245";"S12000047";"Fife";"Council Areas"
"1246";"S12000047";"Fife";"Council Areas"
"1247";"S12000006";"Dumfries and Galloway";"Council Areas"
"1248";"S12000047";"Fife";"Council Areas"
"1249";"S12000006";"Dumfries and Galloway";"Council Areas"
"1250";"S12000006";"Dumfries and Galloway";"Council Areas"
"1251";"S12000010";"East Lothian";"Council Areas"
"1252";"S12000010";"East Lothian";"Council Areas"
"1253";"S12000006";"Dumfries and Galloway";"Council Areas"
"1254";"S12000006";"Dumfries and Galloway";"Council Areas"
"1255";"S12000006";"Dumfries and Galloway";"Council Areas"
"1256";"S12000006";"Dumfries and Galloway";"Council Areas"
"1257";"S12000017";"Highland";"Council Areas"
"1258";"S12000006";"Dumfries and Galloway";"Council Areas"
"1259";"S12000006";"Dumfries and Galloway";"Council Areas"
"1260";"S12000010";"East Lothian";"Council Areas"
"1261";"S12000010";"East Lothian";"Council Areas"
"1262";"S12000010";"East Lothian";"Council Areas"
"1263";"S12000010";"East Lothian";"Council Areas"
"1264";"S12000010";"East Lothian";"Council Areas"
"1265";"S12000047";"Fife";"Council Areas"
"1266";"S12000048";"Perth and Kinross";"Council Areas"
"1267";"S12000048";"Perth and Kinross";"Council Areas"
"1268";"S12000048";"Perth and Kinross";"Council Areas"
"1269";"S12000048";"Perth and Kinross";"Council Areas"
"1270";"S12000047";"Fife";"Council Areas"
"1271";"S12000048";"Perth and Kinross";"Council Areas"
"1272";"S12000014";"Falkirk";"Council Areas"
"1273";"S12000017";"Highland";"Council Areas"
"1274";"S12000017";"Highland";"Council Areas"
"1275";"S12000014";"Falkirk";"Council Areas"
"1276";"S12000047";"Fife";"Council Areas"
"1277";"S12000047";"Fife";"Council Areas"
"1278";"S12000047";"Fife";"Council Areas"
"1279";"S12000047";"Fife";"Council Areas"
"1280";"S12000047";"Fife";"Council Areas"
"1281";"S12000010";"East Lothian";"Council Areas"
"1282";"S12000047";"Fife";"Council Areas"
"1283";"S12000047";"Fife";"Council Areas"
"1284";"S12000013";"Na h-Eileanan Siar";"Council Areas"
"1285";"S12000047";"Fife";"Council Areas"
"1286";"S12000047";"Fife";"Council Areas"
"1287";"S12000047";"Fife";"Council Areas"
"1288";"S12000033";"Aberdeen City";"Council Areas"
"1289";"S12000029";"South Lanarkshire";"Council Areas"
"1290";"S12000030";"Stirling";"Council Areas"
"1291";"S12000029";"South Lanarkshire";"Council Areas"
"1292";"S12000034";"Aberdeenshire";"Council Areas"
"1293";"S12000014";"Falkirk";"Council Areas"
"1294";"S12000030";"Stirling";"Council Areas"
"1295";"S12000017";"Highland";"Council Areas"
"1296";"S12000047";"Fife";"Council Areas"
"1297";"S12000034";"Aberdeenshire";"Council Areas"
"1298";"S12000033";"Aberdeen City";"Council Areas"
"1299";"S12000034";"Aberdeenshire";"Council Areas"
"1300";"S12000010";"East Lothian";"Council Areas"
"1301";"S12000010";"East Lothian";"Council Areas"
"1302";"S12000010";"East Lothian";"Council Areas"
"1303";"S12000048";"Perth and Kinross";"Council Areas"
"1304";"S12000010";"East Lothian";"Council Areas"
"1305";"S12000048";"Perth and Kinross";"Council Areas"
"1306";"S12000048";"Perth and Kinross";"Council Areas"
"1307";"S12000048";"Perth and Kinross";"Council Areas"
"1308";"S12000048";"Perth and Kinross";"Council Areas"
"1309";"S12000048";"Perth and Kinross";"Council Areas"
"1310";"S12000048";"Perth and Kinross";"Council Areas"
"1311";"S12000006";"Dumfries and Galloway";"Council Areas"
"1312";"S12000013";"Na h-Eileanan Siar";"Council Areas"
"1313";"S12000010";"East Lothian";"Council Areas"
"1314";"S12000010";"East Lothian";"Council Areas"
"1315";"S12000008";"East Ayrshire";"Council Areas"
"1316";"S12000008";"East Ayrshire";"Council Areas"
"1317";"S12000013";"Na h-Eileanan Siar";"Council Areas"
"1318";"S12000008";"East Ayrshire";"Council Areas"
"1319";"S12000010";"East Lothian";"Council Areas"
"1320";"S12000008";"East Ayrshire";"Council Areas"
"1321";"S12000010";"East Lothian";"Council Areas"
"1322";"S12000010";"East Lothian";"Council Areas"
"1323";"S12000042";"Dundee City";"Council Areas"
"1324";"S12000005";"Clackmannanshire";"Council Areas"
"1325";"S12000029";"South Lanarkshire";"Council Areas"
"1326";"S12000005";"Clackmannanshire";"Council Areas"
"1327";"S12000005";"Clackmannanshire";"Council Areas"
"1328";"S12000006";"Dumfries and Galloway";"Council Areas"
"1329";"S12000030";"Stirling";"Council Areas"
"1330";"S12000047";"Fife";"Council Areas"
"1331";"S12000030";"Stirling";"Council Areas"
"1332";"S12000033";"Aberdeen City";"Council Areas"
"1333";"S12000011";"East Renfrewshire";"Council Areas"
"1334";"S12000028";"South Ayrshire";"Council Areas"
"1335";"S12000005";"Clackmannanshire";"Council Areas"
"1336";"S12000042";"Dundee City";"Council Areas"
"1337";"S12000042";"Dundee City";"Council Areas"
"1338";"S12000042";"Dundee City";"Council Areas"
"1339";"S12000005";"Clackmannanshire";"Council Areas"
"1340";"S12000045";"East Dunbartonshire";"Council Areas"
"1341";"S12000006";"Dumfries and Galloway";"Council Areas"
"1342";"S12000006";"Dumfries and Galloway";"Council Areas"
"1343";"S12000045";"East Dunbartonshire";"Council Areas"
"1344";"S12000045";"East Dunbartonshire";"Council Areas"
"1345";"S12000026";"Scottish Borders";"Council Areas"
"1346";"S12000013";"Na h-Eileanan Siar";"Council Areas"
"1347";"S12000023";"Orkney Islands";"Council Areas"
"1348";"S12000047";"Fife";"Council Areas"
"1349";"S12000023";"Orkney Islands";"Council Areas"
"1350";"S12000013";"Na h-Eileanan Siar";"Council Areas"
"1351";"S12000042";"Dundee City";"Council Areas"
"1352";"S12000047";"Fife";"Council Areas"
"1353";"S92000003";"Scotland";"Country"
"1354";"S92000003";"Scotland";"Country"
"1355";"S92000003";"Scotland";"Country"
"1356";"S12000047";"Fife";"Council Areas"
"1357";"S12000023";"Orkney Islands";"Council Areas"
"1358";"S92000003";"Scotland";"Country"
"1359";"S12000021";"North Ayrshire";"Council Areas"
"1360";"S12000023";"Orkney Islands";"Council Areas"
"1361";"S12000033";"Aberdeen City";"Council Areas"
"1362";"S12000030";"Stirling";"Council Areas"
"1363";"S12000030";"Stirling";"Council Areas"
"1364";"S12000030";"Stirling";"Council Areas"
"1365";"S12000019";"Midlothian";"Council Areas"
"1366";"S12000023";"Orkney Islands";"Council Areas"
"1367";"S12000023";"Orkney Islands";"Council Areas"
"1368";"S12000047";"Fife";"Council Areas"
"1369";"S12000030";"Stirling";"Council Areas"
"1370";"S12000047";"Fife";"Council Areas"
"1371";"S12000018";"Inverclyde";"Council Areas"
"1372";"S12000011";"East Renfrewshire";"Council Areas"
"1373";"S12000047";"Fife";"Council Areas"
"1374";"S12000035";"Argyll and Bute";"Council Areas"
"1375";"S12000018";"Inverclyde";"Council Areas"
"1376";"S12000047";"Fife";"Council Areas"
"1377";"S92000003";"Scotland";"Country"
"1378";"S12000013";"Na h-Eileanan Siar";"Council Areas"
"1379";"S92000003";"Scotland";"Country"
"1380";"S12000011";"East Renfrewshire";"Council Areas"
"1381";"S92000003";"Scotland";"Country"
"1382";"S12000035";"Argyll and Bute";"Council Areas"
"1383";"S12000035";"Argyll and Bute";"Council Areas"
"1384";"S12000036";"City of Edinburgh";"Council Areas"
"1385";"S12000036";"City of Edinburgh";"Council Areas"
"1386";"S12000036";"City of Edinburgh";"Council Areas"
"1387";"S12000036";"City of Edinburgh";"Council Areas"
"1388";"S12000034";"Aberdeenshire";"Council Areas"
"1389";"S12000035";"Argyll and Bute";"Council Areas"
"1390";"S12000035";"Argyll and Bute";"Council Areas"
"1391";"S12000034";"Aberdeenshire";"Council Areas"
"1392";"S12000035";"Argyll and Bute";"Council Areas"
"1393";"S12000034";"Aberdeenshire";"Council Areas"
"1394";"S92000003";"Scotland";"Country"
"1395";"S92000003";"Scotland";"Country"
"1396";"S92000003";"Scotland";"Country"
"1397";"S12000033";"Aberdeen City";"Council Areas"
"1398";"S12000047";"Fife";"Council Areas"
"1399";"S92000003";"Scotland";"Country"
"1400";"S12000042";"Dundee City";"Council Areas"
"1401";"S12000005";"Clackmannanshire";"Council Areas"
"1402";"S12000042";"Dundee City";"Council Areas"
"1403";"S12000005";"Clackmannanshire";"Council Areas"
"1404";"S12000005";"Clackmannanshire";"Council Areas"
"1405";"S12000005";"Clackmannanshire";"Council Areas"
"1406";"S12000030";"Stirling";"Council Areas"
"1407";"S12000023";"Orkney Islands";"Council Areas"
"1408";"S12000033";"Aberdeen City";"Council Areas"
"1409";"S12000030";"Stirling";"Council Areas"
"1410";"S12000011";"East Renfrewshire";"Council Areas"
"1411";"S12000021";"North Ayrshire";"Council Areas"
"1412";"S12000029";"South Lanarkshire";"Council Areas"
"1413";"S12000026";"Scottish Borders";"Council Areas"
"1414";"S12000019";"Midlothian";"Council Areas"
"1415";"S12000023";"Orkney Islands";"Council Areas"
"1416";"S12000047";"Fife";"Council Areas"
"1417";"S12000047";"Fife";"Council Areas"
"1418";"S12000038";"Renfrewshire";"Council Areas"
"1419";"S12000047";"Fife";"Council Areas"
"1420";"S12000048";"Perth and Kinross";"Council Areas"
"1421";"S12000048";"Perth and Kinross";"Council Areas"
"1422";"S12000011";"East Renfrewshire";"Council Areas"
"1423";"S12000019";"Midlothian";"Council Areas"
"1424";"S12000038";"Renfrewshire";"Council Areas"
"1425";"S12000038";"Renfrewshire";"Council Areas"
"1426";"S12000019";"Midlothian";"Council Areas"
"1427";"S12000019";"Midlothian";"Council Areas"
"1428";"S12000029";"South Lanarkshire";"Council Areas"
"1429";"S12000035";"Argyll and Bute";"Council Areas"
"1430";"S12000030";"Stirling";"Council Areas"
"1431";"S12000035";"Argyll and Bute";"Council Areas"
"1432";"S12000035";"Argyll and Bute";"Council Areas"
"1433";"S12000035";"Argyll and Bute";"Council Areas"
"1434";"S12000030";"Stirling";"Council Areas"
"1435";"S12000041";"Angus";"Council Areas"
"1436";"S12000011";"East Renfrewshire";"Council Areas"
"1437";"S12000041";"Angus";"Council Areas"
"1438";"S12000048";"Perth and Kinross";"Council Areas"
"1439";"S12000028";"South Ayrshire";"Council Areas"
"1440";"S12000026";"Scottish Borders";"Council Areas"
"1441";"S12000033";"Aberdeen City";"Council Areas"
"1442";"S12000021";"North Ayrshire";"Council Areas"
"1443";"S12000023";"Orkney Islands";"Council Areas"
"1444";"S12000033";"Aberdeen City";"Council Areas"
"1445";"S12000021";"North Ayrshire";"Council Areas"
"1446";"S12000011";"East Renfrewshire";"Council Areas"
"1447";"S12000041";"Angus";"Council Areas"
"1448";"S12000048";"Perth and Kinross";"Council Areas"
"1449";"S12000028";"South Ayrshire";"Council Areas"
"1450";"S12000011";"East Renfrewshire";"Council Areas"
"1451";"S12000035";"Argyll and Bute";"Council Areas"
"1452";"S12000041";"Angus";"Council Areas"
"1453";"S12000033";"Aberdeen City";"Council Areas"
"1454";"S12000019";"Midlothian";"Council Areas"
"1455";"S12000013";"Na h-Eileanan Siar";"Council Areas"
"1456";"S12000048";"Perth and Kinross";"Council Areas"
"1457";"S12000013";"Na h-Eileanan Siar";"Council Areas"
"1458";"S12000019";"Midlothian";"Council Areas"
"1459";"S12000034";"Aberdeenshire";"Council Areas"
"1460";"S12000029";"South Lanarkshire";"Council Areas"
"1461";"S12000034";"Aberdeenshire";"Council Areas"
"1462";"S12000033";"Aberdeen City";"Council Areas"
"1463";"S12000021";"North Ayrshire";"Council Areas"
"1464";"S12000035";"Argyll and Bute";"Council Areas"
"1465";"S12000028";"South Ayrshire";"Council Areas"
"1466";"S12000030";"Stirling";"Council Areas"
"1467";"S12000011";"East Renfrewshire";"Council Areas"
"1468";"S12000033";"Aberdeen City";"Council Areas"
"1469";"S12000013";"Na h-Eileanan Siar";"Council Areas"
"1470";"S12000011";"East Renfrewshire";"Council Areas"
"1471";"S12000026";"Scottish Borders";"Council Areas"
"1472";"S12000035";"Argyll and Bute";"Council Areas"
"1473";"S12000030";"Stirling";"Council Areas"
"1474";"S12000030";"Stirling";"Council Areas"
"1475";"S12000021";"North Ayrshire";"Council Areas"
"1476";"S12000038";"Renfrewshire";"Council Areas"
"1477";"S92000003";"Scotland";"Country"
"1478";"S12000048";"Perth and Kinross";"Council Areas"
"1479";"S92000003";"Scotland";"Country"
"1480";"S92000003";"Scotland";"Country"
"1481";"S92000003";"Scotland";"Country"
"1482";"S12000041";"Angus";"Council Areas"
"1483";"S12000011";"East Renfrewshire";"Council Areas"
"1484";"S12000023";"Orkney Islands";"Council Areas"
"1485";"S12000038";"Renfrewshire";"Council Areas"
"1486";"S12000019";"Midlothian";"Council Areas"
"1487";"S12000013";"Na h-Eileanan Siar";"Council Areas"
"1488";"S12000047";"Fife";"Council Areas"
"1489";"S12000034";"Aberdeenshire";"Council Areas"
"1490";"S12000041";"Angus";"Council Areas"
"1491";"S12000034";"Aberdeenshire";"Council Areas"
"1492";"S12000013";"Na h-Eileanan Siar";"Council Areas"
"1493";"S12000021";"North Ayrshire";"Council Areas"
"1494";"S12000033";"Aberdeen City";"Council Areas"
"1495";"S12000047";"Fife";"Council Areas"
"1496";"S12000017";"Highland";"Council Areas"
"1497";"S12000041";"Angus";"Council Areas"
"1498";"S12000041";"Angus";"Council Areas"
"1499";"S12000023";"Orkney Islands";"Council Areas"
"1500";"S12000023";"Orkney Islands";"Council Areas"
"1501";"S12000035";"Argyll and Bute";"Council Areas"
"1502";"S12000026";"Scottish Borders";"Council Areas"
"1503";"S12000035";"Argyll and Bute";"Council Areas"
"1504";"S12000021";"North Ayrshire";"Council Areas"
"1505";"S12000029";"South Lanarkshire";"Council Areas"
"1506";"S12000034";"Aberdeenshire";"Council Areas"
"1507";"S12000021";"North Ayrshire";"Council Areas"
"1508";"S12000023";"Orkney Islands";"Council Areas"
"1509";"S12000034";"Aberdeenshire";"Council Areas"
"1510";"S12000017";"Highland";"Council Areas"
"1511";"S08000030";"Tayside";"Health Board Areas"
"1512";"S08000029";"Fife";"Health Board Areas"
"1513";"S08000017";"Dumfries and Galloway";"Health Board Areas"
"1514";"S08000029";"Fife";"Health Board Areas"
"1515";"S08000022";"Highland";"Health Board Areas"
"1516";"S08000022";"Highland";"Health Board Areas"
"1517";"S08000030";"Tayside";"Health Board Areas"
"1518";"S08000029";"Fife";"Health Board Areas"
"1519";"S08000024";"Lothian";"Health Board Areas"
"1520";"S08000030";"Tayside";"Health Board Areas"
"1521";"S08000030";"Tayside";"Health Board Areas"
"1522";"S08000017";"Dumfries and Galloway";"Health Board Areas"
"1523";"S08000017";"Dumfries and Galloway";"Health Board Areas"
"1524";"S08000029";"Fife";"Health Board Areas"
"1525";"S08000022";"Highland";"Health Board Areas"
"1526";"S08000022";"Highland";"Health Board Areas"
"1527";"S08000022";"Highland";"Health Board Areas"
"1528";"S08000016";"Borders";"Health Board Areas"
"1529";"S08000022";"Highland";"Health Board Areas"
"1530";"S08000019";"Forth Valley";"Health Board Areas"
"1531";"S08000019";"Forth Valley";"Health Board Areas"
"1532";"S08000020";"Grampian";"Health Board Areas"
"1533";"S08000015";"Ayrshire and Arran";"Health Board Areas"
"1534";"S08000022";"Highland";"Health Board Areas"
"1535";"S08000022";"Highland";"Health Board Areas"
"1536";"S08000017";"Dumfries and Galloway";"Health Board Areas"
"1537";"S08000020";"Grampian";"Health Board Areas"
"1538";"S08000016";"Borders";"Health Board Areas"
"1539";"S08000025";"Orkney";"Health Board Areas"
"1540";"S08000024";"Lothian";"Health Board Areas"
"1541";"S08000024";"Lothian";"Health Board Areas"
"1542";"S08000025";"Orkney";"Health Board Areas"
"1543";"S08000025";"Orkney";"Health Board Areas"
"1544";"S08000024";"Lothian";"Health Board Areas"
"1545";"S08000025";"Orkney";"Health Board Areas"
"1546";"S08000024";"Lothian";"Health Board Areas"
"1547";"S08000020";"Grampian";"Health Board Areas"
"1548";"S08000022";"Highland";"Health Board Areas"
"1549";"S08000030";"Tayside";"Health Board Areas"
"1550";"S08000024";"Lothian";"Health Board Areas"
"1551";"S08000025";"Orkney";"Health Board Areas"
"1552";"S08000022";"Highland";"Health Board Areas"
"1553";"S08000017";"Dumfries and Galloway";"Health Board Areas"
"1554";"S08000017";"Dumfries and Galloway";"Health Board Areas"
"1555";"S08000019";"Forth Valley";"Health Board Areas"
"1556";"S08000024";"Lothian";"Health Board Areas"
"1557";"S08000019";"Forth Valley";"Health Board Areas"
"1558";"S08000024";"Lothian";"Health Board Areas"
"1559";"S08000019";"Forth Valley";"Health Board Areas"
"1560";"S08000017";"Dumfries and Galloway";"Health Board Areas"
"1561";"S08000019";"Forth Valley";"Health Board Areas"
"1562";"S08000019";"Forth Valley";"Health Board Areas"
"1563";"S08000017";"Dumfries and Galloway";"Health Board Areas"
"1564";"S08000017";"Dumfries and Galloway";"Health Board Areas"
"1565";"S08000017";"Dumfries and Galloway";"Health Board Areas"
"1566";"S08000022";"Highland";"Health Board Areas"
"1567";"S08000028";"Western Isles";"Health Board Areas"
"1568";"S08000028";"Western Isles";"Health Board Areas"
"1569";"S08000028";"Western Isles";"Health Board Areas"
"1570";"S08000025";"Orkney";"Health Board Areas"
"1571";"S08000024";"Lothian";"Health Board Areas"
"1572";"S08000026";"Shetland";"Health Board Areas"
"1573";"S08000019";"Forth Valley";"Health Board Areas"
"1574";"S08000020";"Grampian";"Health Board Areas"
"1575";"S08000020";"Grampian";"Health Board Areas"
"1576";"S08000016";"Borders";"Health Board Areas"
"1577";"S08000020";"Grampian";"Health Board Areas"
